Zeitindex;Zeitwert;Wochentag;kW
01.01.2018 00:15;0.01;1;10.08216
01.01.2018 00:30;0.02;1;10.08216
01.01.2018 00:45;0.03;1;10.19673
01.01.2018 01:00;0.04;1;10.3113
01.01.2018 01:15;0.05;1;10.42587
01.01.2018 01:30;0.06;1;10.54044
01.01.2018 01:45;0.07;1;10.65501
01.01.2018 02:00;0.08;1;10.54044
01.01.2018 02:15;0.09;1;10.42587
01.01.2018 02:30;0.1;1;10.19673
01.01.2018 02:45;0.11;1;9.85302
01.01.2018 03:00;0.13;1;9.73845
01.01.2018 03:15;0.14;1;9.62388
01.01.2018 03:30;0.15;1;9.62388
01.01.2018 03:45;0.16;1;9.62388
01.01.2018 04:00;0.17;1;9.50931
01.01.2018 04:15;0.18;1;9.39474
01.01.2018 04:30;0.19;1;9.1656
01.01.2018 04:45;0.2;1;9.1656
01.01.2018 05:00;0.21;1;9.39474
01.01.2018 05:15;0.22;1;9.85302
01.01.2018 05:30;0.23;1;10.42587
01.01.2018 05:45;0.24;1;11.11329
01.01.2018 06:00;0.25;1;11.457
01.01.2018 06:15;0.26;1;11.57157
01.01.2018 06:30;0.27;1;11.34243
01.01.2018 06:45;0.28;1;10.99872
01.01.2018 07:00;0.29;1;10.76958
01.01.2018 07:15;0.3;1;10.76958
01.01.2018 07:30;0.31;1;10.99872
01.01.2018 07:45;0.32;1;11.11329
01.01.2018 08:00;0.33;1;11.34243
01.01.2018 08:15;0.34;1;11.457
01.01.2018 08:30;0.35;1;11.34243
01.01.2018 08:45;0.36;1;11.34243
01.01.2018 09:00;0.38;1;11.34243
01.01.2018 09:15;0.39;1;11.457
01.01.2018 09:30;0.4;1;11.57157
01.01.2018 09:45;0.41;1;11.68614
01.01.2018 10:00;0.42;1;11.80071
01.01.2018 10:15;0.43;1;11.80071
01.01.2018 10:30;0.44;1;11.68614
01.01.2018 10:45;0.45;1;11.68614
01.01.2018 11:00;0.46;1;11.57157
01.01.2018 11:15;0.47;1;11.457
01.01.2018 11:30;0.48;1;11.457
01.01.2018 11:45;0.49;1;11.457
01.01.2018 12:00;0.5;1;11.457
01.01.2018 12:15;0.51;1;11.457
01.01.2018 12:30;0.52;1;11.457
01.01.2018 12:45;0.53;1;11.57157
01.01.2018 13:00;0.54;1;11.57157
01.01.2018 13:15;0.55;1;11.68614
01.01.2018 13:30;0.56;1;11.68614
01.01.2018 13:45;0.57;1;11.68614
01.01.2018 14:00;0.58;1;11.57157
01.01.2018 14:15;0.59;1;11.34243
01.01.2018 14:30;0.6;1;10.99872
01.01.2018 14:45;0.61;1;10.76958
01.01.2018 15:00;0.63;1;10.54044
01.01.2018 15:15;0.64;1;10.42587
01.01.2018 15:30;0.65;1;10.42587
01.01.2018 15:45;0.66;1;10.54044
01.01.2018 16:00;0.67;1;10.54044
01.01.2018 16:15;0.68;1;10.65501
01.01.2018 16:30;0.69;1;10.65501
01.01.2018 16:45;0.7;1;10.65501
01.01.2018 17:00;0.71;1;10.76958
01.01.2018 17:15;0.72;1;10.76958
01.01.2018 17:30;0.73;1;10.76958
01.01.2018 17:45;0.74;1;10.88415
01.01.2018 18:00;0.75;1;11.11329
01.01.2018 18:15;0.76;1;11.34243
01.01.2018 18:30;0.77;1;11.68614
01.01.2018 18:45;0.78;1;12.14442
01.01.2018 19:00;0.79;1;12.48813
01.01.2018 19:15;0.8;1;12.94641
01.01.2018 19:30;0.81;1;13.29012
01.01.2018 19:45;0.82;1;13.51926
01.01.2018 20:00;0.83;1;13.40469
01.01.2018 20:15;0.84;1;13.06098
01.01.2018 20:30;0.85;1;12.48813
01.01.2018 20:45;0.86;1;11.91528
01.01.2018 21:00;0.88;1;11.457
