;Strompreis
00:00;26.807
00:15;26.807
00:30;26.807
00:45;26.807
01:00;26.807
01:15;26.807
01:30;26.807
01:45;26.807
02:00;26.807
02:15;26.807
02:30;26.807
02:45;26.807
03:00;26.807
03:15;26.807
03:30;26.807
03:45;26.807
04:00;26.807
04:15;26.807
04:30;26.807
04:45;26.807
05:00;26.807
05:15;26.807
05:30;26.807
05:45;26.807
06:00;26.807
06:15;26.807
06:30;26.807
06:45;26.807
07:00;26.807
07:15;26.807
07:30;26.807
07:45;26.807
08:00;26.807
08:15;26.807
08:30;26.807
08:45;26.807
09:00;26.807
09:15;26.807
09:30;26.807
09:45;26.807
10:00;26.807
10:15;26.807
10:30;26.807
10:45;26.807
11:00;26.807
11:15;26.807
11:30;26.807
11:45;26.807
12:00;26.807
12:15;26.807
12:30;26.807
12:45;26.807
13:00;26.807
13:15;26.807
13:30;26.807
13:45;26.807
14:00;26.807
14:15;26.807
14:30;26.807
14:45;26.807
15:00;26.807
15:15;26.807
15:30;26.807
15:45;26.807
16:00;26.807
16:15;26.807
16:30;26.807
16:45;26.807
17:00;26.807
17:15;26.807
17:30;26.807
17:45;26.807
18:00;26.807
18:15;26.807
18:30;26.807
18:45;26.807
19:00;26.807
19:15;26.807
19:30;26.807
19:45;26.807
20:00;26.807
20:15;26.807
20:30;26.807
20:45;26.807
21:00;26.807
21:15;26.807
21:30;26.807
21:45;26.807
22:00;26.807
22:15;26.807
22:30;26.807
22:45;26.807
23:00;26.807
23:15;26.807
23:30;26.807
23:45;26.807
00:00;26.807
00:15;26.807
00:30;26.807
00:45;26.807
01:00;26.807
01:15;26.807
01:30;26.807
01:45;26.807
02:00;26.807
02:15;26.807
02:30;26.807
02:45;26.807
03:00;26.807
03:15;26.807
03:30;26.807
03:45;26.807
04:00;26.807
04:15;26.807
04:30;26.807
04:45;26.807
05:00;26.807
05:15;26.807
05:30;26.807
05:45;26.807
06:00;26.807
06:15;26.807
06:30;26.807
06:45;26.807
07:00;26.807
07:15;26.807
07:30;26.807
07:45;26.807
08:00;26.807
08:15;26.807
08:30;26.807
08:45;26.807
09:00;26.807
09:15;26.807
09:30;26.807
09:45;26.807
10:00;26.807
10:15;26.807
10:30;26.807
10:45;26.807
11:00;26.807
11:15;26.807
11:30;26.807
11:45;26.807
12:00;26.807
12:15;26.807
12:30;26.807
12:45;26.807
13:00;26.807
13:15;26.807
13:30;26.807
13:45;26.807
14:00;26.807
14:15;26.807
14:30;26.807
14:45;26.807
15:00;26.807
15:15;26.807
15:30;26.807
15:45;26.807
16:00;26.807
16:15;26.807
